,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Alex,Formenton,LW,2017-18,18,OTT,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,4:54,0,0,,1,1,0,1,,0,0,
1,Alex,Formenton,LW,2018-19,19,OTT,NHL,9,1,0,1,-2,6,1,0,0,0,0,0,0,16,6.3,25,105,11:40,1,2,33.3,7,11,4,5,,11,11,' placed on IR with concussion'
2,Alex,Formenton,LW,2020-21,21,OTT,NHL,20,4,2,6,6,6,3,0,1,0,2,0,0,27,14.8,39,240,12:00,1,4,20.0,8,23,11,6,,0,0,
3,Alex,Formenton,LW,2021-22,22,OTT,NHL,79,18,14,32,-13,59,13,0,5,1,13,0,1,162,11.1,256,1221,15:27,8,12,40.0,24,101,44,25,,0,0,
4,Cody,Ceci,D,2013-14,20,OTT,NHL,49,3,6,9,-5,14,3,0,0,2,6,0,0,82,3.7,166,843,17:12,0,0,,49,45,12,15,,0,0,
5,Cody,Ceci,D,2014-15,21,OTT,NHL,81,5,16,21,-4,6,4,1,0,0,13,3,0,130,3.8,245,1562,19:17,0,0,,113,89,14,41,Byng-26,0,0,
6,Cody,Ceci,D,2015-16,22,OTT,NHL,75,10,16,26,9,18,10,0,0,2,14,2,0,116,8.6,232,1448,19:18,0,0,,130,70,15,41,,17,17,' placed on IR with upper body injury'
7,Cody,Ceci,D,2016-17,23,OTT,NHL,79,2,15,17,-11,20,2,0,0,0,12,1,2,143,1.4,287,1833,23:12,1,0,100.0,159,111,22,74,,0,0,
8,Cody,Ceci,D,2017-18,24,OTT,NHL,82,5,14,19,-27,12,5,0,0,1,9,5,0,143,3.5,315,1914,23:20,0,0,,171,163,18,40,,7,7,' placed on IR with foot injury'
9,Cody,Ceci,D,2018-19,25,OTT,NHL,74,7,19,26,-22,18,7,0,0,2,18,1,0,132,5.3,283,1670,22:34,0,0,,142,120,20,59,,0,0,
10,Cody,Ceci,D,2019-20,26,TOR,NHL,56,1,7,8,7,20,1,0,0,1,7,0,0,48,2.1,117,1150,20:32,0,0,,79,92,13,30,,0,0,
11,Cody,Ceci,D,2020-21,27,PIT,NHL,53,4,13,17,18,10,4,0,0,1,13,0,0,58,6.9,110,981,18:31,0,0,,70,74,11,15,,0,0,
12,Cody,Ceci,D,2021-22,28,EDM,NHL,78,5,23,28,8,14,5,0,0,0,20,0,3,102,4.9,213,1630,20:54,0,0,,121,117,15,39,,0,0,
13,Cody,Ceci,D,2022-23,29,EDM,NHL,80,1,14,15,11,24,1,0,0,0,14,0,0,88,1.1,192,1611,20:08,0,0,,110,139,20,39,,0,0,
14,Cody,Ceci,D,2023-24,30,EDM,NHL,75,3,20,23,10,14,3,0,0,0,19,0,1,93,3.2,194,1499,19:59,0,0,,105,81,24,19,,0,0,
15,Ryan,Dzingel,C,2015-16,23,OTT,NHL,30,3,6,9,4,11,3,0,0,0,6,0,0,23,13.0,46,324,10:48,2,2,50.0,4,54,6,2,,0,0,
