,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Alex,Formenton,LW,2018-19,19,OTT,NHL,9,1,0,1,-2,6,1,0,0,0,0,0,0,16,6.3,25,105,11:40,1,2,33.3,7,11,4,5,,11,11,' placed on IR with concussion'
1,Cody,Ceci,D,2015-16,22,OTT,NHL,75,10,16,26,9,18,10,0,0,2,14,2,0,116,8.6,232,1448,19:18,0,0,,130,70,15,41,,17,17,' placed on IR with upper body injury'
2,Cody,Ceci,D,2017-18,24,OTT,NHL,82,5,14,19,-27,12,5,0,0,1,9,5,0,143,3.5,315,1914,23:20,0,0,,171,163,18,40,,7,7,' placed on IR with foot injury'
3,Ryan,Dzingel,C,2018-19,26,TOT,NHL,78,26,30,56,-9,29,21,5,0,5,24,6,0,159,16.4,,1312,16:49,39,56,41.1,38,54,25,39,,12,12,' placed on IR with upper body injury'
4,Ryan,Dzingel,C,2019-20,27,CAR,NHL,64,8,21,29,3,30,4,4,0,1,16,5,0,98,8.2,178,906,14:09,9,20,31.0,25,36,15,19,,28,28,' placed on IR with ankle injury'
5,Ryan,Dzingel,C,2020-21,28,TOT,NHL,40,8,5,13,-5,21,6,2,0,0,4,1,0,48,16.7,,508,12:42,3,9,25.0,10,44,8,9,,14,14,' placed on IR with hand injury'
6,Jay,Beagle,RW,2012-13,27,WSH,NHL,48,2,6,8,-1,14,2,0,0,1,6,0,0,56,3.6,97,581,12:06,249,195,56.1,23,55,18,12,,28,28,' placed on IR with left shoulder injury'
7,Jay,Beagle,RW,2016-17,31,WSH,NHL,81,13,17,30,20,22,12,0,1,4,15,0,2,100,13.0,158,1104,13:38,624,483,56.4,44,55,11,26,Selke-24,11,11,' placed on IR with eye injury'
8,Jay,Beagle,RW,2018-19,33,VAN,NHL,57,3,10,13,-8,18,2,0,1,0,10,0,0,45,6.7,71,778,13:39,426,332,56.2,33,102,13,10,,"6, 19",25,"' placed on IR with lower body injury', ' placed on IR with ankle injury (surgery)'"
9,Jay,Beagle,RW,2021-22,36,ARI,NHL,33,1,1,2,-20,27,1,0,0,0,1,0,0,24,4.2,40,455,13:47,265,199,57.1,16,50,9,7,,"22, 26",48,"' placed on IR with upper body injury', ' placed on IR with upper body injury'"
10,Casey,Cizikas,C,2011-12,20,NYI,NHL,15,0,4,4,1,6,0,0,0,0,4,0,0,12,0.0,24,159,10:36,47,68,40.9,9,26,1,1,,57,57,' placed on IR with head injury'
11,Casey,Cizikas,C,2014-15,23,NYI,NHL,70,9,9,18,-2,24,7,0,2,2,8,1,0,90,10.0,159,876,12:31,446,409,52.2,50,144,42,22,,16,16,' placed on IR with upper body injury'
12,Casey,Cizikas,C,2015-16,24,NYI,NHL,80,8,21,29,4,31,7,0,1,4,20,0,2,84,9.5,150,1015,12:41,469,490,48.9,62,158,58,23,Selke-43,59,59,' placed on IR with upper body injury'
13,Casey,Cizikas,C,2016-17,25,NYI,NHL,59,8,17,25,9,30,8,0,0,1,16,1,0,82,9.8,127,821,13:54,420,426,49.6,58,144,36,24,,28,28,' placed on IR with upper body injury'
14,Casey,Cizikas,C,2017-18,26,NYI,NHL,64,7,10,17,-12,23,6,0,1,0,10,0,0,74,9.5,123,846,13:13,473,418,53.1,53,128,33,23,,6,6,' placed on IR with lower body injury'
15,Casey,Cizikas,C,2018-19,27,NYI,NHL,73,20,13,33,22,36,18,0,2,3,12,0,1,111,18.0,170,1024,14:01,497,516,49.1,68,129,44,34,Selke-21,"52, 4",56,"' placed on IR with fractured forearm', ' placed on IR with upper body injury'"
16,Casey,Cizikas,C,2019-20,28,NYI,NHL,48,10,4,14,12,41,7,0,3,1,2,0,2,67,14.9,114,686,14:18,368,320,53.5,39,133,38,28,,10,10,' placed on IR with lower body injury'
17,Casey,Cizikas,C,2020-21,29,NYI,NHL,56,7,7,14,-2,27,7,0,0,3,7,0,0,72,9.7,112,775,13:50,340,299,53.2,25,112,12,16,,116,116,' placed on IR with undisclosed injury (out for season)'
18,Casey,Cizikas,C,2021-22,30,NYI,NHL,74,10,6,16,-3,48,9,0,1,3,6,0,0,91,11.0,147,1017,13:45,534,427,55.6,43,138,33,32,,2,2,' placed on IR with upper body injury'
19,Justin,Schultz,D,2013-14,23,EDM,NHL,74,11,22,33,-22,16,10,1,0,3,11,11,0,109,10.1,242,1728,23:21,0,1,0.0,107,30,20,63,,5,5,' placed on IR with sprained knee'
20,Justin,Schultz,D,2014-15,24,EDM,NHL,81,6,25,31,-17,12,6,0,0,1,13,12,0,122,4.9,301,1832,22:37,1,0,100.0,114,41,20,69,Byng-56,"6, 3",9,"' placed on IR with upper body injury', ' placed on IR with upper body injury'"
21,Justin,Schultz,D,2021-22,31,WSH,NHL,74,4,19,23,-15,16,2,2,0,1,16,3,0,92,4.3,205,1252,16:55,0,0,,87,40,13,25,,"14, 82",96,"' placed on IR with lower body injury', ' placed on IR with lower body injury / core muscle injury'"
22,Justin,Schultz,D,2023-24,33,SEA,NHL,64,6,17,23,-21,22,6,0,0,2,9,8,0,88,6.8,237,1046,16:21,0,0,,63,24,15,11,,36,36,' placed on IR with upper body injury'
23,Antoine,Roussel,LW,2016-17,27,DAL,NHL,60,12,15,27,1,115,12,0,0,3,12,3,0,82,14.6,162,931,15:31,7,9,43.8,45,69,16,37,,"23, 14",37,"' placed on IR with hand injury', ' placed on IR with lower body injury'"
24,Antoine,Roussel,LW,2017-18,28,DAL,NHL,73,5,12,17,1,126,5,0,0,0,12,0,0,85,5.9,171,908,12:26,22,16,57.9,42,104,16,23,,"4, 11",15,"' placed on IR with lower body injury', ' placed on IR with hand injury'"
25,Antoine,Roussel,LW,2018-19,29,VAN,NHL,65,9,22,31,5,118,9,0,0,1,22,0,0,84,10.7,154,894,13:46,17,17,50.0,50,87,20,20,,15,15,' placed on IR with vertigo'
26,Andrew,Ladd,LW,2011-12,26,WPG,NHL,82,28,22,50,-8,64,24,4,0,6,14,8,0,265,10.6,431,1604,19:34,32,27,54.2,25,76,40,43,,26,26,' placed on IR with knee injury'
27,Andrew,Ladd,LW,2018-19,33,NYI,NHL,26,3,8,11,3,16,3,0,0,0,7,0,1,34,8.8,55,360,13:51,2,3,40.0,8,37,9,14,,"4, 13, 8",25,"' placed on IR with lower body injury', ' placed on IR with lower body injury', ' placed on IR with upper body injury'"
28,Andrew,Ladd,LW,2019-20,34,NYI,NHL,4,1,0,1,2,4,1,0,0,0,0,0,0,5,20.0,7,48,11:58,0,0,,0,23,0,1,,"10, 165, 11",186,"' placed on IR with lower body injury', ' placed on IR with lacerated leg', ' placed on IR with lower body injury'"
29,Andrew,Ladd,LW,2021-22,36,ARI,NHL,51,7,5,12,-20,47,4,3,0,0,4,1,0,57,12.3,107,720,14:07,7,3,70.0,33,68,17,26,,11,11,' placed on IR with lower body injury'
30,Carter,Rowney,RW,2017-18,28,PIT,NHL,44,2,3,5,-13,4,1,0,1,0,3,0,0,21,9.5,43,411,9:21,164,146,52.9,24,74,5,6,,"13, 27",40,"' placed on IR with concussion', ' placed on IR with lower body injury'"
31,Carter,Rowney,RW,2018-19,29,ANA,NHL,62,7,13,20,0,12,6,0,1,0,13,0,0,53,13.2,89,778,12:33,171,176,49.3,35,178,22,26,,"6, 38",44,"' placed on IR with concussion', ' placed on IR with left ankle/leg injury'"
32,Ryan,Getzlaf,C,2013-14,28,ANA,NHL,77,31,56,87,28,31,26,5,0,7,38,18,0,204,15.2,373,1639,21:17,692,719,49.0,87,110,53,76,"AS-2,Hart-2,Selke-10",18,18,' placed on IR with upper body injury'
33,Ryan,Getzlaf,C,2018-19,33,ANA,NHL,67,14,34,48,-19,58,13,1,0,2,24,10,0,133,10.5,271,1304,19:28,551,463,54.3,74,150,60,79,,"125, 36, 13, 32",206,"' placed on IR with fractured lower left leg', ' placed on IR with ankle injury', ' placed on IR with lower body injury', ' placed on IR with lower body injury'"
34,Ryan,Getzlaf,C,2019-20,34,ANA,NHL,69,13,29,42,-16,58,10,3,0,5,23,6,0,143,9.1,271,1292,18:44,530,504,51.3,69,125,53,76,,"9, 22",31,"' placed on IR with lower body injury', ' placed on IR with lower body injury'"
35,Ryan,Getzlaf,C,2021-22,36,ANA,NHL,56,3,34,37,-14,29,1,2,0,1,25,9,0,104,2.9,192,1062,18:57,546,479,53.3,56,89,35,67,,4,4,' placed on IR with upper body injury'
36,J.T.,Compher,LW,2018-19,23,COL,NHL,66,16,16,32,-8,31,9,4,3,3,11,5,0,118,13.6,197,1153,17:29,301,311,49.2,59,33,23,23,,37,37,' placed on IR with upper body injury'
37,J.T.,Compher,LW,2020-21,25,COL,NHL,48,10,8,18,10,19,9,1,0,2,7,1,0,47,21.3,88,682,14:13,216,255,45.9,38,32,16,10,,22,22,' placed on IR with upper body injury'
38,Josh,Archibald,RW,2018-19,26,ARI,NHL,68,12,10,22,1,15,12,0,0,1,9,0,1,92,13.0,164,923,13:34,12,25,32.4,39,161,18,8,,11,11,' placed on IR with concussion'
39,Josh,Archibald,RW,2019-20,27,EDM,NHL,62,12,9,21,-8,12,10,0,2,3,8,0,1,64,18.8,119,820,13:14,0,2,0.0,44,165,24,11,,63,63,' placed on IR with knee injury'
40,Josh,Archibald,RW,2021-22,29,EDM,NHL,8,0,1,1,-2,7,0,0,0,0,1,0,0,4,0.0,9,72,9:03,2,2,50.0,2,27,3,1,,"37, 15",52,"' placed on IR with lower body injury', ' placed on IR with upper body injury'"
41,Zach,Bogosian,D,2012-13,22,WPG,NHL,33,5,9,14,-5,29,5,0,0,0,6,3,0,85,5.9,172,763,23:07,0,0,,50,79,12,28,,10,10,' placed on IR with shoulder injury'
42,Zach,Bogosian,D,2014-15,24,TOT,NHL,62,3,17,20,-6,78,3,0,0,0,15,2,0,125,2.4,,1469,23:41,0,0,,90,189,14,38,,"58, 22",80,"' placed on IR with surgery to repair hernia', ' placed on IR with lower body injury'"
43,Zach,Bogosian,D,2017-18,27,BUF,NHL,18,0,1,1,-9,20,0,0,0,0,1,0,0,29,0.0,48,345,19:09,0,0,,23,22,3,9,,17,17,' placed on IR with upper body injury'
