,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Nicholas,Abruzzese,C,2022-23,23,TOR,NHL,2,0,2,2,1,0,0,0,0,0,1,1,0,2,0.0,,18,8:59,0,0,,0,1,,,,,,
1,Noel,Acciari,C,2022-23,31,TOT,NHL,77,14,9,23,-4,21,14,0,0,2,7,0,2,102,13.7,,1102,14:19,337,289,53.8,81,244,,,,,,
2,Calen,Addison,D,2022-23,22,MIN,NHL,62,3,26,29,-17,22,3,0,0,1,8,18,0,77,3.9,,999,16:07,0,0,,38,19,,,,,,
3,Egor,Afanasyev,LW,2022-23,22,NSH,NHL,17,1,0,1,-7,2,1,0,0,0,0,0,0,21,4.8,,184,10:51,0,0,,13,23,,,,,,
4,Andrew,Agozzino,LW,2022-23,32,SJS,NHL,4,1,2,3,-1,0,0,0,1,0,2,0,0,9,11.1,,65,16:22,1,0,100.0,4,12,,,,,,
5,Sebastian,Aho,F,2022-23,25,CAR,NHL,75,36,31,67,8,42,26,7,3,9,22,8,1,218,16.5,,1462,19:30,531,503,51.4,21,59,,,,,,
6,Nikita,Alexandrov,C,2022-23,22,STL,NHL,28,3,4,7,0,8,3,0,0,0,4,0,0,28,10.7,,275,9:49,53,97,35.3,13,28,,,,,,
7,Frédéric,Allard,D,2022-23,25,MTL,NHL,3,0,0,0,2,0,0,0,0,0,0,0,0,6,0.0,,42,13:51,0,0,,2,0,,,,,,
8,Michael,Amadio,C,2022-23,26,VEG,NHL,67,16,11,27,2,12,15,1,0,2,10,1,0,99,16.2,,818,12:13,31,32,49.2,27,56,,,,,,
9,Nils,Åman,C,2022-23,22,VAN,NHL,68,4,12,16,-12,18,4,0,0,1,10,0,2,50,8.0,,864,12:42,181,293,38.2,41,44,,,,,,
10,Joey,Anderson,RW,2022-23,24,TOT,NHL,38,6,3,9,-8,0,6,0,0,1,3,0,0,41,14.6,,445,11:42,0,2,0.0,17,36,,,,,,
11,Josh,Anderson,RW,2022-23,28,MTL,NHL,69,21,11,32,-8,72,16,4,1,5,11,0,0,164,12.8,,1170,16:58,19,25,43.2,49,139,,,,,,
12,Michael,Anderson,D,2022-23,23,LAK,NHL,77,5,15,20,20,40,4,1,0,1,14,0,1,90,5.6,,1668,21:40,0,0,,129,162,,,,,,
13,Jaret,Anderson-Dolan,C,2022-23,23,LAK,NHL,46,7,5,12,-11,2,7,0,0,2,4,1,0,54,13.0,,488,10:37,23,16,59.0,29,61,,,,,,
14,Lias,Andersson,C,2022-23,24,LAK,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,9,8:37,0,0,,0,2,,,,,,
15,Rasmus,Andersson,D,2022-23,26,CGY,NHL,79,11,38,49,5,26,9,1,1,4,17,20,1,159,6.9,,1903,24:05,0,0,,136,50,,,,,,
