,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Marco,Scandella,D,2022-23,32,STL,NHL,20,1,1,2,2,6,1,0,0,0,1,0,0,17,5.9,41,357,17:50,0,0,,26,27,7,10,,151,151,' placed on IR recovering from surgery on hip'
1,Charlie,McAvoy,D,2022-23,25,BOS,NHL,67,7,45,52,29,54,5,2,0,2,28,17,0,105,6.7,225,1494,22:18,0,0,,131,84,26,45,"AS-18,Norris-18",49,49,' placed on IR with shoulder injury'
2,Matt,Grzelcyk,D,2022-23,29,BOS,NHL,75,4,22,26,46,28,4,0,0,2,22,0,0,102,3.9,201,1292,17:14,0,0,,78,51,13,33,,264,264,' placed on IR with shoulder injury (out for season)'
3,Joel,Edmundson,D,2022-23,29,MTL,NHL,61,2,11,13,-29,58,2,0,0,0,10,0,1,69,2.9,126,1194,19:34,0,0,,149,112,12,71,,42,42,' placed on IR with lower body injury'
4,Jonathan,Drouin,LW,2022-23,27,MTL,NHL,58,2,27,29,-18,18,2,0,0,0,18,9,0,69,2.9,125,865,14:54,169,211,44.5,23,29,31,19,,"29, 21",50,"' placed on IR with upper body injury', ' placed on IR with upper body injury'"
5,Alexander,Alexeyev,D,2022-23,23,WSH,NHL,32,0,5,5,-2,4,0,0,0,0,5,0,0,28,0.0,72,527,16:27,0,0,,48,33,3,16,,11,11,' placed on IR with upper body injury'
6,Tom,Wilson,RW,2022-23,28,WSH,NHL,33,13,9,22,-13,78,9,4,0,1,8,1,0,82,15.9,141,581,17:37,5,10,33.3,30,97,13,10,,"107, 4",111,"' placed on IR with torn ACL in knee', ' placed on IR with lower body injury'"
7,Sam,Carrick,C,2022-23,30,ANA,NHL,52,3,4,7,-17,86,3,0,0,0,4,0,0,50,6.0,85,549,10:34,182,187,49.3,24,98,13,9,,54,54,' placed on IR with hip injury'
8,Max,Pacioretty,LW,2022-23,34,CAR,NHL,5,3,0,3,0,2,2,1,0,0,0,0,0,16,18.8,34,68,13:39,0,0,,1,4,1,2,,"104, 144",248,"' placed on IR with right Achilles injury', ' placed on IR with torn right Achilles tendon (out for season)'"
9,Anthony,Cirelli,C,2022-23,25,TBL,NHL,58,11,18,29,13,33,8,1,2,1,17,1,0,111,9.9,189,961,16:34,427,404,51.4,46,34,40,15,Selke-26,72,72,' placed on IR with shoulder injury'
10,Anthony,Duclair,LW,2022-23,27,FLA,NHL,20,2,7,9,4,2,2,0,0,0,7,0,0,43,4.7,83,297,14:51,0,0,,9,20,6,9,,155,155,' placed on IR recovering from surgery on repair torn Achilles tendon'
11,Jake,Walman,D,2022-23,26,DET,NHL,63,9,9,18,10,45,9,0,0,2,7,2,0,140,6.4,257,1242,19:43,0,0,,121,47,33,36,,51,51,' placed on IR with shoulder injury (surgery)'
12,Robby,Fabbri,C,2022-23,27,DET,NHL,28,7,9,16,-1,22,4,3,0,3,4,5,0,35,20.0,65,448,16:00,10,16,38.5,15,49,6,12,,103,103,' placed on IR recovering from torn ACL in knee'
13,Nikolai,Knyzhov,D,2022-23,24,SJS,NHL,12,1,0,1,-13,8,1,0,0,0,0,0,0,10,10.0,19,194,16:09,0,0,,16,11,3,9,,136,136,' placed on IR with surgery on Achilles'
14,Jon,Merrill,D,2022-23,30,MIN,NHL,73,2,10,12,-2,38,2,0,0,0,10,0,0,43,4.7,99,1106,15:09,0,0,,107,47,18,14,,11,11,' placed on IR with upper body injury'
15,Mason,Appleton,C,2022-23,27,WPG,NHL,41,5,11,16,2,8,4,1,0,0,11,0,0,71,7.0,109,657,16:01,2,8,20.0,11,47,12,11,,"10, 90, 4",104,"' placed on IR with upper body injury', ' placed on IR with wrist injury', ' placed on IR with upper body injury'"
