,Player First Name,Player Last Name,Date of Injury,Team When Injured,Injury Description,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards
0,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2017-18,22,NYR,NHL,19,1,4,5,-12,0,1,0,0,0,3,1,0,28,3.6,57,229,12:03,5,7,41.7,6,22,2,7,
1,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2018-19,23,NYR,NHL,27,1,2,3,-7,14,0,1,0,0,1,1,0,40,2.5,70,274,10:09,7,6,53.8,11,41,7,9,
2,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2020-21,25,ANA,NHL,5,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,12,64,12:43,2,3,40.0,1,9,2,1,
3,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2021-22,26,ANA,NHL,31,5,5,10,-8,6,3,2,0,0,2,3,0,50,10.0,86,388,12:31,12,11,52.2,17,40,6,10,
4,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2022-23,27,BOS,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,1,10,9:50,0,1,0.0,0,3,0,0,
5,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2023-24,28,MIN,NHL,19,3,1,4,-6,6,3,0,0,0,1,0,0,26,11.5,40,190,10:01,23,17,57.5,11,21,4,4,
6,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2 yrs,,NYR,NHL,46,2,6,8,-19,14,1,1,0,0,4,2,0,68,2.9,127,503,10:56,12,13,48.0,17,63,9,16,
7,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",2 yrs,,ANA,NHL,36,5,5,10,-11,6,3,2,0,0,2,3,0,57,8.8,98,452,12:33,14,14,50.0,18,49,8,11,
8,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",1 yr,,BOS,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,1,10,9:50,0,1,0.0,0,3,0,0,
9,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",1 yr,,MIN,NHL,19,3,1,4,-6,6,3,0,0,0,1,0,0,26,11.5,40,190,10:01,23,17,57.5,11,21,4,4,
10,Vinni,Lettieri,2023-02-01, Bruins," placed on IR with lower body injury]
",Career,,6 yrs,NHL,102,10,12,22,-37,26,7,3,0,0,7,5,0,152,6.6,266,1155,11:19,49,45,52.1,46,136,21,31,
11,Artem,Zub,2023-02-01, Senators," activated from IR]
",2020-21,25,OTT,NHL,47,3,11,14,4,26,3,0,0,1,11,0,0,39,7.7,85,864,18:23,0,0,,70,89,8,36,Calder-17
12,Artem,Zub,2023-02-01, Senators," activated from IR]
",2021-22,26,OTT,NHL,81,6,16,22,1,60,6,0,0,0,16,0,0,92,6.5,194,1704,21:02,0,0,,124,155,14,60,
13,Artem,Zub,2023-02-01, Senators," activated from IR]
",2022-23,27,OTT,NHL,53,3,7,10,2,39,3,0,0,0,7,0,0,41,7.3,109,1073,20:15,0,0,,67,131,8,31,
14,Artem,Zub,2023-02-01, Senators," activated from IR]
",2023-24,28,OTT,NHL,31,3,11,14,3,14,3,0,0,0,11,0,0,43,7.0,93,641,20:41,0,0,,51,49,6,16,
15,Artem,Zub,2023-02-01, Senators," activated from IR]
",Career,,4 yrs,NHL,212,15,45,60,10,139,15,0,0,1,45,0,0,215,7.0,481,4283,20:12,0,0,,312,424,36,143,
