,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Matt,Nieto,LW,2013-14,21,SJS,NHL,66,10,14,24,-4,16,9,1,0,2,11,3,0,124,8.1,199,929,14:05,3,8,27.3,45,7,17,29,,0,0,
1,Matt,Nieto,LW,2014-15,22,SJS,NHL,72,10,17,27,-12,20,9,1,0,1,13,3,1,135,7.4,221,1098,15:15,0,1,0.0,38,24,38,36,,20,20,' placed on IR with lower body injury'
2,Matt,Nieto,LW,2015-16,23,SJS,NHL,67,8,9,17,-8,10,6,0,2,1,8,1,0,90,8.9,151,882,13:10,2,6,25.0,33,33,17,27,,0,0,
3,Matt,Nieto,LW,2016-17,24,TOT,NHL,59,7,6,13,-12,8,7,0,0,1,5,0,1,85,8.2,,881,14:55,2,4,33.3,34,40,28,18,,0,0,
4,Matt,Nieto,LW,2017-18,25,COL,NHL,74,15,11,26,6,14,14,0,1,1,11,0,0,84,17.9,144,1103,14:55,4,9,30.8,56,27,21,12,,0,0,
5,Matt,Nieto,LW,2018-19,26,COL,NHL,64,4,19,23,2,8,3,0,1,1,17,0,2,86,4.7,140,881,13:46,9,8,52.9,26,50,19,11,,0,0,
6,Matt,Nieto,LW,2019-20,27,COL,NHL,70,8,13,21,7,6,6,0,2,3,13,0,0,85,9.4,141,945,13:30,2,3,40.0,23,37,19,17,,0,0,
7,Matt,Nieto,LW,2020-21,28,SJS,NHL,28,5,2,7,-5,4,5,0,0,0,2,0,0,45,11.1,57,392,14:00,4,3,57.1,19,25,7,5,,102,102,' placed on IR with lower body injury (out for season)'
8,Matt,Nieto,LW,2022-23,30,TOT,NHL,81,12,12,24,-15,16,12,0,0,2,11,1,0,115,10.4,174,1096,13:31,9,9,50.0,32,43,35,22,,0,0,
9,Matt,Nieto,LW,2023-24,31,PIT,NHL,22,1,3,4,5,4,1,0,0,0,3,0,0,13,7.7,27,255,11:37,0,0,,9,14,4,4,,193,193,' placed on IR with lower body injury (out for season)'
10,Travis,Hamonic,D,2010-11,20,NYI,NHL,62,5,21,26,4,103,4,1,0,0,17,3,1,118,4.2,256,1338,21:34,0,0,,115,116,42,48,,0,0,
11,Travis,Hamonic,D,2011-12,21,NYI,NHL,73,2,22,24,6,73,1,1,0,0,17,5,0,124,1.6,294,1637,22:26,0,0,,157,170,37,52,,6,6,' placed on IR with fractured nose'
12,Travis,Hamonic,D,2012-13,22,NYI,NHL,48,3,7,10,-8,28,2,1,0,1,4,2,1,83,3.6,189,1095,22:48,0,0,,109,59,34,46,,0,0,
13,Travis,Hamonic,D,2013-14,23,NYI,NHL,69,3,15,18,2,68,1,2,0,0,14,1,0,134,2.2,308,1726,25:01,0,0,,132,93,40,51,,10,10,' placed on IR with concussion'
14,Travis,Hamonic,D,2014-15,24,NYI,NHL,71,5,28,33,15,85,4,1,0,0,21,7,0,132,3.8,306,1547,21:47,0,0,,131,213,27,56,,16,16,' placed on IR with upper body injury'
15,Travis,Hamonic,D,2015-16,25,NYI,NHL,72,5,16,21,-5,35,4,0,1,1,16,0,0,147,3.4,331,1715,23:49,0,0,,128,148,44,61,,0,0,
16,Travis,Hamonic,D,2016-17,26,NYI,NHL,49,3,11,14,-21,60,3,0,0,0,10,1,0,74,4.1,157,1002,20:27,0,0,,108,58,14,39,,"8, 50",58,"' placed on IR with fractured thumb', ' placed on IR with lower body injury'"
