,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Matt,Nieto,LW,2014-15,22,SJS,NHL,72,10,17,27,-12,20,9,1,0,1,13,3,1,135,7.4,221,1098,15:15,0,1,0.0,38,24,38,36,,20,20,' placed on IR with lower body injury'
1,Matt,Nieto,LW,2020-21,28,SJS,NHL,28,5,2,7,-5,4,5,0,0,0,2,0,0,45,11.1,57,392,14:00,4,3,57.1,19,25,7,5,,102,102,' placed on IR with lower body injury (out for season)'
2,Matt,Nieto,LW,2023-24,31,PIT,NHL,22,1,3,4,5,4,1,0,0,0,3,0,0,13,7.7,27,255,11:37,0,0,,9,14,4,4,,193,193,' placed on IR with lower body injury (out for season)'
3,Travis,Hamonic,D,2011-12,21,NYI,NHL,73,2,22,24,6,73,1,1,0,0,17,5,0,124,1.6,294,1637,22:26,0,0,,157,170,37,52,,6,6,' placed on IR with fractured nose'
4,Travis,Hamonic,D,2013-14,23,NYI,NHL,69,3,15,18,2,68,1,2,0,0,14,1,0,134,2.2,308,1726,25:01,0,0,,132,93,40,51,,10,10,' placed on IR with concussion'
5,Travis,Hamonic,D,2014-15,24,NYI,NHL,71,5,28,33,15,85,4,1,0,0,21,7,0,132,3.8,306,1547,21:47,0,0,,131,213,27,56,,16,16,' placed on IR with upper body injury'
6,Travis,Hamonic,D,2016-17,26,NYI,NHL,49,3,11,14,-21,60,3,0,0,0,10,1,0,74,4.1,157,1002,20:27,0,0,,108,58,14,39,,"8, 50",58,"' placed on IR with fractured thumb', ' placed on IR with lower body injury'"
7,Travis,Hamonic,D,2017-18,27,CGY,NHL,74,1,10,11,-9,79,1,0,0,0,10,0,0,107,0.9,261,1532,20:42,0,1,0.0,124,83,28,46,,"9, 7",16,"' placed on IR with lower body injury', ' placed on IR with lower body injury'"
8,Travis,Hamonic,D,2018-19,28,CGY,NHL,69,7,12,19,21,33,6,0,1,1,10,0,2,128,5.5,286,1440,20:52,0,1,0.0,167,44,37,62,,20,20,' placed on IR with facial fracture'
9,Travis,Hamonic,D,2020-21,30,VAN,NHL,38,3,7,10,-3,39,3,0,0,0,7,0,0,79,3.8,151,736,19:22,0,1,0.0,81,48,10,19,,35,35,' placed on IR with upper body injury'
10,Gabriel,Bourque,LW,2017-18,27,COL,NHL,58,5,6,11,-6,12,5,0,0,1,6,0,0,44,11.4,84,632,10:54,7,16,30.4,59,123,12,2,,7,7,' placed on IR with upper body injury'
11,Gabriel,Bourque,LW,2019-20,29,WPG,NHL,52,2,4,6,-1,7,2,0,0,0,4,0,0,33,6.1,63,447,8:36,2,3,40.0,40,125,5,14,,32,32,' placed on IR with lower body injury'
12,Jared,McCann,C,2017-18,21,FLA,NHL,68,9,19,28,11,30,8,1,0,4,18,0,1,143,6.3,212,901,13:15,212,338,38.5,32,43,39,28,,"11, 5",16,"' placed on IR with lower body injury', ' placed on IR with lower body injury'"
13,Jared,McCann,C,2020-21,24,PIT,NHL,43,14,18,32,17,8,7,7,0,3,15,3,0,93,15.1,156,607,14:07,56,73,43.4,17,40,21,14,Byng-35,"16, 11",27,"' placed on IR with lower body injury', ' placed on IR with upper body injury'"
14,Anton,Lindholm,D,2017-18,23,COL,NHL,48,0,4,4,4,14,0,0,0,0,4,0,0,22,0.0,65,632,13:10,0,0,,51,99,8,9,,"23, 10",33,"' placed on IR with fractured jaw', ' placed on IR with upper body injury'"
15,Cam,Atkinson,RW,2012-13,23,CBJ,NHL,35,9,9,18,9,4,8,1,0,1,8,1,0,91,9.9,142,546,15:35,0,0,,16,24,19,6,,27,27,' placed on IR with lower body injury'
16,Cam,Atkinson,RW,2014-15,25,CBJ,NHL,78,22,18,40,-2,22,14,7,1,7,15,3,0,212,10.4,337,1325,16:59,4,5,44.4,39,55,40,22,,9,9,' placed on IR with upper body injury'
17,Cam,Atkinson,RW,2017-18,28,CBJ,NHL,65,24,22,46,19,14,20,3,1,5,15,7,0,231,10.4,380,1229,18:54,21,44,32.3,29,32,31,19,,"2, 30",32,"' placed on IR with lower body injury', ' placed on IR with fractured right foot'"
18,Cam,Atkinson,RW,2019-20,30,CBJ,NHL,44,12,14,26,2,6,9,3,0,2,9,5,0,148,8.1,220,785,17:51,27,30,47.4,21,18,26,21,,"20, 161",181,"' placed on IR with sprained right ankle', ' placed on IR with sprained ankle'"
19,Matt,Calvert,LW,2012-13,23,CBJ,NHL,42,9,7,16,-9,32,8,0,1,2,7,0,0,63,14.3,122,596,14:11,2,4,33.3,24,57,17,6,,7,7,' placed on IR with upper body injury'
20,Matt,Calvert,LW,2013-14,24,CBJ,NHL,56,9,15,24,-1,53,7,2,0,1,13,2,0,90,10.0,156,902,16:06,3,6,33.3,28,108,20,18,,"41, 9",50,"' placed on IR with groin injury / abdominal injury', ' placed on IR with sprained shoulder'"
21,Matt,Calvert,LW,2014-15,25,CBJ,NHL,56,13,10,23,1,28,13,0,0,3,9,0,1,93,14.0,156,896,16:00,6,4,60.0,20,92,26,19,,"9, 3, 32",44,"' placed on IR with upper body injury', ' placed on IR with wrist injury', ' placed on IR with concussion'"
22,Matt,Calvert,LW,2015-16,26,CBJ,NHL,73,11,13,24,1,51,10,1,0,1,13,0,0,114,9.6,192,1104,15:08,7,7,50.0,46,91,36,10,,23,23,' placed on IR with sprained knee'
23,Matt,Calvert,LW,2016-17,27,CBJ,NHL,65,10,5,15,-4,48,7,0,3,1,4,0,1,92,10.9,154,868,13:21,2,14,12.5,34,61,23,15,,"7, 14",21,"' placed on IR with head injury', ' placed on IR with strained oblique muscle'"
24,Matt,Calvert,LW,2017-18,28,CBJ,NHL,69,9,15,24,-10,33,6,1,2,0,15,0,0,108,8.3,169,923,13:23,15,29,34.1,35,61,28,15,,27,27,' placed on IR with upper body injury'
25,Matt,Calvert,LW,2019-20,30,COL,NHL,50,12,13,25,13,39,9,0,3,1,12,0,1,89,13.5,141,705,14:05,12,14,46.2,22,58,21,13,,"16, 147",163,"' placed on IR with head injury', ' placed on IR with lower body injury'"
26,Matt,Calvert,LW,2020-21,31,COL,NHL,18,0,3,3,-2,6,0,0,0,0,3,0,0,26,0.0,45,249,13:49,0,1,0.0,8,12,6,0,,"23, 87",110,"' placed on IR with upper body injury', ' placed on IR with undisclosed injury (out for season)'"
27,Brett,Ritchie,RW,2015-16,22,DAL,NHL,8,0,1,1,-3,7,0,0,0,0,1,0,0,15,0.0,25,93,11:36,0,0,,3,30,2,3,,61,61,' placed on IR with surgery on wrist'
28,Brett,Ritchie,RW,2017-18,24,DAL,NHL,71,7,7,14,1,42,5,2,0,0,6,1,0,117,6.0,212,770,10:50,0,1,0.0,10,172,9,16,,5,5,' placed on IR with upper body injury'
29,Brett,Ritchie,RW,2019-20,26,BOS,NHL,27,2,4,6,-3,21,2,0,0,1,3,1,0,34,5.9,57,281,10:24,2,3,40.0,3,89,3,4,,1,1,' placed on IR with sprained MCL in left knee'
30,Brett,Ritchie,RW,2022-23,29,TOT,NHL,50,8,5,13,0,25,8,0,0,0,4,1,0,68,11.8,111,503,10:03,2,2,50.0,9,77,10,18,,20,20,' placed on IR with wrist injury'
31,Gabriel,Carlsson,D,2017-18,21,CBJ,NHL,14,0,2,2,0,4,0,0,0,0,2,0,0,18,0.0,26,159,11:20,0,0,,10,10,2,4,,22,22,' placed on IR with upper body injury'
