,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Nicholas,Abruzzese,C,2021-22,22,TOR,NHL,9,1,0,1,-1,2,1,0,0,1,0,0,0,8,12.5,,92,10:13,2,5,28.6,3,7,,,,0,0,
1,Noel,Acciari,C,2021-22,30,FLA,NHL,20,3,5,8,2,11,3,0,0,1,5,0,0,32,9.4,,240,11:59,84,82,50.6,16,48,,,,0,0,
2,Calen,Addison,D,2021-22,21,MIN,NHL,15,2,2,4,-4,2,2,0,0,0,2,0,0,17,11.8,,207,13:47,0,0,,6,12,,,,0,0,
3,Andrew,Agozzino,LW,2021-22,31,OTT,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,7,6:52,1,2,33.3,0,4,,,,0,0,
4,Jack,Ahcan,D,2021-22,24,BOS,NHL,6,1,0,1,-3,0,0,1,0,0,0,0,0,5,20.0,,96,16:02,0,0,,5,8,,,,0,0,
5,Sebastian,Aho,F,2021-22,24,CAR,NHL,79,37,44,81,18,38,23,13,1,9,27,15,2,221,16.7,,1497,18:57,555,504,52.4,23,76,,,,0,0,
6,Sebastian,Aho,D,2021-22,25,NYI,NHL,36,2,10,12,-6,10,2,0,0,0,8,2,0,34,5.9,,592,16:27,0,0,,42,32,,,,0,0,
7,Alexander,Alexeyev,D,2021-22,22,WSH,NHL,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,11,10:35,0,0,,0,1,,,,0,0,
8,Wade,Allison,RW,2021-22,24,PHI,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,,8,8:16,0,0,,0,1,,,,0,0,
9,Michael,Amadio,C,2021-22,25,TOT,NHL,56,11,7,18,1,15,11,0,0,2,7,0,0,64,17.2,,681,12:10,30,42,41.7,16,42,,,,0,0,
10,Joey,Anderson,RW,2021-22,23,TOR,NHL,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,,44,8:46,0,0,,0,3,,,,0,0,
11,Josh,Anderson,RW,2021-22,27,MTL,NHL,69,19,13,32,-25,65,17,2,0,1,12,1,0,151,12.6,,1189,17:14,20,22,47.6,35,153,,,,0,0,
12,Michael,Anderson,D,2021-22,22,LAK,NHL,57,2,6,8,6,8,2,0,0,1,6,0,0,58,3.4,,1147,20:07,0,0,,69,133,,,,0,0,
13,Jaret,Anderson-Dolan,C,2021-22,22,LAK,NHL,7,0,0,0,-3,4,0,0,0,0,0,0,0,5,0.0,,97,13:47,9,7,56.3,3,12,,,,0,0,
14,Lias,Andersson,C,2021-22,23,LAK,NHL,20,1,1,2,-7,12,1,0,0,1,0,1,0,29,3.4,,212,10:37,21,26,44.7,3,23,,,,0,0,
15,Rasmus,Andersson,D,2021-22,25,CGY,NHL,82,4,46,50,30,28,2,2,0,1,28,17,1,152,2.6,,1859,22:40,0,0,,125,63,,,,0,0,
16,Andy,Andreoff,LW,2021-22,30,NYI,NHL,6,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,,60,9:59,9,8,52.9,1,11,,,,0,0,
17,Anthony,Angello,C,2021-22,25,PIT,NHL,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,,27,6:38,0,1,0.0,0,13,,,,0,0,
18,Mason,Appleton,C,2021-22,26,TOT,NHL,68,8,13,21,-1,30,8,0,0,3,13,0,0,98,8.2,,1012,14:53,7,15,31.8,20,64,,,,0,0,
19,Josh,Archibald,RW,2021-22,29,EDM,NHL,8,0,1,1,-2,7,0,0,0,0,1,0,0,4,0.0,,72,9:03,2,2,50.0,2,27,,,,0,0,
20,Joel,Armia,RW,2021-22,28,MTL,NHL,60,6,8,14,-15,14,4,1,1,0,6,2,0,103,5.8,,823,13:43,3,14,17.6,27,104,,,,0,0,
21,Viktor,Arvidsson,LW,2021-22,28,LAK,NHL,66,20,29,49,1,22,16,4,0,3,25,4,0,227,8.8,,1121,16:59,12,21,36.4,45,23,,,,0,0,
22,Rasmus,Asplund,F,2021-22,24,BUF,NHL,80,8,19,27,-5,10,5,2,1,1,17,2,0,130,6.2,,1142,14:17,26,35,42.6,14,30,,,,0,0,
23,Zach,Aston-Reese,C,2021-22,27,TOT,NHL,69,5,10,15,9,28,5,0,0,0,10,0,0,78,6.4,,900,13:02,4,4,50.0,42,231,,,,0,0,
24,Andreas,Athanasiou,C,2021-22,27,LAK,NHL,28,11,6,17,7,4,11,0,0,3,5,1,0,71,15.5,,427,15:14,13,7,65.0,10,11,,,,0,0,
25,Cam,Atkinson,RW,2021-22,32,PHI,NHL,73,23,27,50,-2,10,18,2,3,6,24,3,0,215,10.7,,1332,18:15,5,12,29.4,45,20,,,,0,0,
26,Ronald,Attard,D,2021-22,22,PHI,NHL,15,2,2,4,-2,8,2,0,0,0,2,0,0,16,12.5,,249,16:36,0,0,,17,24,,,,0,0,
27,Nicolas,Aubé-Kubel,RW,2021-22,25,TOT,NHL,74,11,12,23,11,47,11,0,0,2,12,0,0,87,12.6,,726,9:49,3,9,25.0,18,140,,,,0,0,
28,Mikael,Backlund,C,2021-22,32,CGY,NHL,82,12,27,39,16,30,12,0,0,1,20,7,0,214,5.6,,1404,17:07,621,608,50.5,27,62,,,,0,0,
29,Nicklas,Bäckström,C,2021-22,34,WSH,NHL,47,6,25,31,-8,12,5,1,0,1,12,13,0,68,8.8,,822,17:29,301,348,46.4,16,16,,,,0,0,
30,Brandon,Baddock,LW,2021-22,26,MTL,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8:24,0,0,,0,6,,,,0,0,
31,Sven,Baertschi,LW,2021-22,29,VEG,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,14,13:54,0,0,,0,0,,,,0,0,
32,Kevin,Bahl,D,2021-22,21,NJD,NHL,17,1,3,4,-6,10,1,0,0,0,3,0,0,16,6.3,,268,15:45,0,0,,15,28,,,,0,0,
33,Josh,Bailey,C,2021-22,32,NYI,NHL,74,14,30,44,-7,6,12,2,0,1,21,9,0,87,16.1,,1250,16:53,43,67,39.1,26,19,,,,0,0,
34,Justin,Bailey,RW,2021-22,26,VAN,NHL,14,0,0,0,-5,6,0,0,0,0,0,0,0,16,0.0,,127,9:05,0,1,0.0,6,12,,,,0,0,
35,Rūdolfs,Balcers,LW,2021-22,24,SJS,NHL,61,11,12,23,-3,20,11,0,0,1,11,0,1,98,11.2,,917,15:02,8,12,40.0,43,115,,,,0,0,
36,Alexander,Barabanov,F,2021-22,27,SJS,NHL,70,10,29,39,-5,14,8,2,0,1,23,6,0,103,9.7,,1203,17:11,0,1,0.0,39,53,,,,0,0,
37,Ivan,Barbashev,C,2021-22,26,STL,NHL,81,26,34,60,4,40,21,4,1,2,28,5,1,111,23.4,,1332,16:26,131,197,39.9,28,160,,,,0,0,
38,Riley,Barber,RW,2021-22,27,DET,NHL,4,0,0,0,-2,2,0,0,0,0,0,0,0,4,0.0,,34,8:27,0,0,,1,3,,,,0,0,
39,Aleksander,Barkov,C,2021-22,26,FLA,NHL,67,39,49,88,36,18,23,12,4,5,34,14,1,214,18.2,,1360,20:18,713,539,56.9,42,50,,,,0,0,
40,Alex,Barré-Boulet,F,2021-22,24,TOT,NHL,16,3,3,6,0,4,3,0,0,0,2,1,0,16,18.8,,176,11:00,6,9,40.0,3,10,,,,0,0,
41,Tyson,Barrie,D,2021-22,30,EDM,NHL,73,7,34,41,3,18,4,3,0,0,15,18,1,149,4.7,,1384,18:58,0,0,,73,27,,,,0,0,
42,Justin,Barron,D,2021-22,20,TOT,NHL,7,1,1,2,-3,0,1,0,0,0,1,0,0,13,7.7,,120,17:11,0,0,,5,5,,,,0,0,
43,Morgan,Barron,C,2021-22,23,TOT,NHL,27,2,3,5,-4,8,2,0,0,0,3,0,0,33,6.1,,265,9:48,30,24,55.6,8,49,,,,0,0,
44,Mathew,Barzal,C,2021-22,24,NYI,NHL,73,15,44,59,-15,18,14,1,0,1,25,19,0,161,9.3,,1315,18:01,234,271,46.3,17,36,,,,0,0,
